$zeta2/LF$,$norm_omega_s$
9.806468e-01,-1.730029e-01
1.013638e+00,-1.725928e-01
1.046866e+00,-1.705647e-01
1.080344e+00,-1.675281e-01
1.114081e+00,-1.637136e-01
1.148091e+00,-1.590228e-01
1.182384e+00,-1.548400e-01
1.216973e+00,-1.498660e-01
1.251873e+00,-1.450240e-01
1.287095e+00,-1.401623e-01
1.322656e+00,-1.350269e-01
1.358569e+00,-1.304416e-01
1.394851e+00,-1.262143e-01
1.431518e+00,-1.220728e-01
1.468587e+00,-1.177395e-01
1.506077e+00,-1.136620e-01
1.544006e+00,-1.110066e-01
1.582395e+00,-1.075338e-01
1.621265e+00,-1.033247e-01
1.660639e+00,-1.015710e-01
1.700539e+00,-9.999714e-02
1.740991e+00,-9.784724e-02
1.782022e+00,-9.581459e-02
1.823660e+00,-9.373318e-02
1.865935e+00,-9.211902e-02
1.908879e+00,-9.038127e-02
1.952525e+00,-8.876649e-02
1.996910e+00,-8.695557e-02
2.042074e+00,-8.494591e-02
2.088057e+00,-8.425610e-02
2.134904e+00,-8.273726e-02
2.182664e+00,-8.067650e-02
2.231388e+00,-7.858421e-02
2.281133e+00,-7.698568e-02
2.331958e+00,-7.461181e-02
2.383931e+00,-7.211098e-02
2.437122e+00,-7.069933e-02
2.491609e+00,-7.086917e-02
2.547478e+00,-6.979934e-02
2.604822e+00,-6.804630e-02
2.663744e+00,-6.649959e-02
2.724358e+00,-6.369612e-02
2.786790e+00,-6.295148e-02
2.851178e+00,-6.214729e-02
2.917678e+00,-5.996803e-02
2.986466e+00,-6.043817e-02
3.057737e+00,-5.877607e-02
3.131714e+00,-5.551509e-02
3.208649e+00,-5.353553e-02
3.288830e+00,-5.528144e-02
3.372590e+00,-5.436579e-02
3.460314e+00,-5.208103e-02
3.552453e+00,-5.008717e-02
3.649535e+00,-5.248201e-02
3.752191e+00,-5.005378e-02
3.861178e+00,-4.906478e-02
3.977418e+00,-4.988167e-02
4.102048e+00,-4.562395e-02
4.236493e+00,-4.081230e-02
4.382572e+00,-4.212662e-02
4.542661e+00,-3.582891e-02
4.719942e+00,-1.778924e-02
4.918817e+00,-8.156539e-03
5.145628e+00,-1.090205e-02
5.409989e+00,-8.977276e-03
5.727518e+00,8.302571e-03
6.126192e+00,-3.603394e-04
6.664236e+00,8.122507e-03
7.500000e+00,0.000000e+00
